82,Dixie,Sweeney,M,4/3/1948,79 South Glen Creek Ave. Uniontown,5661521816, PA 15401
83,Ignacio,Snow,M,8/20/1948,8046 King St. Nanuet,4972884586, NY 10954
84,Lillie,Wrona,F,12/9/1949,273 Ramblewood St. Liverpool,9751629327, NY 13090
85,Lisa,Dexter,F,6/3/1954,8348 Miles Rd. Yorktown Heights,5504422648, NY 10598
86,Arletta,Kepler,F,2/19/1955,882 Sycamore Court Hillsboro,8239021444, OR 97124
87,Kenyetta,Barrentine,F,9/10/1958,925 Lafayette Dr. Latrobe,1443132331, PA 15650
88,Delia,Seabrook,M,2/20/1959,20 St Margarets St. Lawrence,4913192624, MA 01841
89,Santos,Eager,M,12/26/1959,8658 Saxon Ave. Mason City,4251594975, IA 50401
90,Stephnie,Soldner,F,4/11/1961,80 SW. Rocky River Drive Randallstown,2230389084, MD 21133
91,Noah,Baize,M,4/14/1965,9 Sunset Street Berwyn,4784798934, IL 60402
92,Christopher,Cano,M,1/3/1966,7 Sherwood Road Mount Holly,5307256464, NJ 08060
93,Karla,Barbosa,F,3/18/1967,8284 Del Monte Lane Jonesboro,4596991616, GA 30236
94,Fernande,Bergfeld,M,5/17/1968,715 Glendale Road South Richmond Hill,6087837189, NY 11419
95,Tam,Lo,M,3/29/1972,174 Beaver Ridge Street Minneapolis,4716382129, MN 55406
96,Karissa,Emery,F,7/7/1973,6 Morris Street Williamstown,2836246908, NJ 08094
97,Judy,Prime,F,1/30/1980,135 Argyle Avenue Joliet,1057678019, IL 60435
98,Berenice,Grindstaff,F,2/15/1980,8329 Randall Mill St. East Lansing,7161837784, MI 48823
99,Peg,Brenes,F,7/28/1991,8120 Bald Hill Street Baton Rouge,4361353815,
100,Jessie,Fralick,M,1/18/1930,9169 Campfire Ave. Cockeysville,1101706802,
101,Reggie,Lightsey,F,7/1/1930,88 Young Avenue Oak Forest,7162372456,
102,Peggie,Rady,F,11/22/1937,724 East Warren St. New Brunswick,1270666562,
103,Ivana,Markel,F,2/1/1938,797 Spruce Dr. Lanham,4681105744,
104,Marcelene,Pinson,M,10/9/1942,54 Golf Ave. Rocky Mount,1635909544,
105,Florene,Greenhill,F,9/12/1943,7360 Shub Farm St. Appleton,5779902987,
106,Nicholle,Greene,F,12/21/1945,21 W. Greystone Dr. Jamaica,6830144931,
107,Lonna,Mckillip,M,7/30/1946,8045 Edgewood Ave. Newtown,6210782183,
108,Eula,Jenny,M,12/26/1946,73 Berkshire Street Fishers,1165694160,
109,Mauro,Theis,M,5/14/1949,662 Rose St. Brentwood,8420970306,
110,Helga,Mauro,F,4/27/1959,9376 Court Lane Hendersonville,6151021666,
111,Allegra,Huntsman,M,9/12/1960,759 Lake Dr. Zeeland,8248420577,
112,Robby,Chavera,M,5/23/1963,311 Brickyard Ave. Flemington,5194809857,
113,Teena,Twining,M,11/5/1964,936 Sulphur Springs Ave. Glendora,1803040013,
114,Solange,Florence,M,11/1/1967,47 Second Rd. Neenah,9837583626,
115,Eldon,Jester,M,6/16/1972,265 Strawberry Drive Dublin,2920093783,
116,Gena,Soriano,M,2/12/1977,72 3rd St. Latrobe,3232263731,
117,Marita,Carrington,F,1/2/1978,333 S. Grant St. Greenfield,1034946654,
118,Karlyn,Pion,F,11/17/1978,993 University St. Brentwood,5510481048,
119,Hillary,Cave,F,1/24/1982,9114 S. Sage Road Carrollton,3478094428,
120,Lieselotte,Mckechnie,M,9/23/1983,8164 North Hillside Ave. Cranston,9126995327,
121,Missy,Czerwinski,F,7/1/1984,4 Marlborough St. Parkersburg,8247450004,
122,Dusti,Naumann,M,7/23/1984,7243 Logan Dr. Chelsea,7760827110,
123,Rosalva,Fuhr,F,8/6/1988,7596 Pin Oak Ave. Cordova,1015652302,
124,Cammie,Zamzow,F,5/4/1990,83 Sunset St. Yuba City,5099666442,
125,Joesph,Valtierra,M,1/13/1927,8 Princess Ave. Chesterton,4735495398,
126,Ladawn,Phinney,M,8/2/1928,193 Sunnyslope St. Newburgh,7378450026,
127,Narcisa,Krebbs,F,10/25/1936,7584 S. Thatcher Lane Indiana,9426914269,
128,Ilana,Steffan,F,11/25/1936,205 North Holly Ave. Milton,5927420262,
129,Lorretta,Love,F,3/26/1937,8014 Summer St. Parsippany,2068062448,
130,Tashina,Menefee,F,12/30/1944,40 Ohio Dr. York,7993968808,
131,Elvira,Guillotte,M,8/31/1945,644 N. Philmont Avenue Manchester Township,6918462992,
132,Lorelei,Sauseda,F,8/5/1947,9020 John St. Raleigh,3958289319,
133,Melvina,Borden,F,11/10/1947,131 Essex St. Faribault,3473766722,
134,Glennis,Salzano,M,6/13/1952,83 Clinton St. Springboro,5613473138,
135,Dulcie,Johansson,M,9/17/1952,728 Lake View St. Orange,4324087690,
136,Luci,Poisson,F,4/29/1958,79 Greystone Court Greenwood,6626873823,
137,Viviana,Rosner,F,4/14/1962,31 Ramblewood St. Campbell,2025911821,
138,Thomasine,Chappelle,F,12/6/1962,9859 Lees Creek Street Gloucester,1926342227,
139,Simon,Napper,M,2/9/1969,6 York Street Libertyville,2449648911,
140,Kristofer,Comstock,M,6/29/1973,34 La Sierra St. Littleton,7616108551,
141,Kenia,Hellickson,F,11/26/1974,794 Spruce Road Oshkosh,8078846437,
142,Marica,Torgersen,F,12/2/1975,62 Birchpond Dr. Metairie,4028270566,
143,Goldie,Grissett,F,7/21/1977,51 Elmwood Circle Corpus Christi,6779776504,
144,Gertie,Cornell,F,1/27/1980,739 E. Jones Court Suffolk,5287977023,
145,Monet,Henriques,F,6/20/1980,64 Sunset Street Daphne,9029827371,
146,Jonie,Asaro,F,10/27/1980,8770 W. Edgemont Street Greenwood,3122029825,
147,Roseline,Leroux,F,3/9/1981,779 NW. Penn Court Santa Monica,5383471592,
148,Racquel,Mcfatridge,F,6/10/1987,66 Ridgewood Street Titusville,1652036954,
149,Eda,Gathers,F,12/7/1990,970 Fordham Street Wilson,3132704510,
150,Audry,Matsuo,M,12/13/1926,712 Glendale Court Valrico,7594769684,
151,Waneta,Stefaniak,F,1/30/1927,897 Lyme St. Duarte,6340762320,
152,Bettyann,Ruane,M,1/10/1928,994 William St. Oviedo,6432349246,
153,Jacalyn,Hevey,F,10/15/1928,16 Riverside Ave. Worcester,4097377966,
154,Siu,Mcnichols,M,7/23/1929,8993 San Pablo Court Kansas City,7570138928,
155,Candi,Pantano,F,11/27/1929,12 Durham St. Great Falls,8364624766,
156,Edris,Friddle,M,5/8/1934,8572 Smoky Hollow St. State College,2411509346,
157,Ethelene,Marine,F,12/29/1938,67 East Elm St. North Wales,3637548223,
158,Astrid,Hilger,F,4/23/1939,556 Rocky River Drive Blackwood,3369046561,
159,Kendrick,Fortune,M,3/19/1941,56 Bishop St. Wadsworth,1735901339,
160,Shavon,Glass,M,4/27/1942,8766 Santa Clara Ave. Alabaster,1804532953,
161,Monica,Wadley,F,6/26/1951,95 SW. Yukon Street Bradenton,9411576423,
162,Aleida,Mosely,F,8/23/1953,9133 4th St. Palos Verdes Peninsula,7405865346,
163,Aida,Samora,F,6/9/1957,7019 Johnson Dr. Hernando,6149098977,
164,Adella,Givan,F,4/18/1959,83 Orchard St. Lynchburg,1144439577,
165,Cindie,Purcell,F,2/16/1962,7417 S. Lawrence Court Erie,6720326331,
166,Nicolle,Cutchin,F,7/16/1962,8326 Tower St. Newnan,3387293345,
167,Evelyne,Ouzts,F,5/25/1965,48 Vermont Ave. Warminster,4606570485,
168,Drucilla,Tezeno,F,3/1/1970,264 Arcadia Dr. Bedford,6572318483,
169,Olivia,Bracco,F,7/19/1974,90 South Riverside Lane Wisconsin Rapids,9135666712,
170,Nenita,Qualls,F,7/30/1975,224 Stonybrook Street Sugar Land,4984315599,
171,Aliza,Ramsay,F,12/12/1984,8527 North Country Club Avenue Derry,2903401198,
172,Arlinda,Provost,F,2/20/1986,833 Addison Road Greer,4748870701,
173,Fermina,Gero,F,5/10/1990,872 Sherman Street Glendale,9547191952,
174,Brent,Mcmillin,M,8/19/1990,69 Greenrose Dr. Grandville,2762597503,
175,Grady,Rakes,M,8/29/1927,452 Adams Rd. Grand Island,3181699049,
176,Lauren,Durrah,M,9/28/1928,83 Beechwood Road Green Bay,5418303381,
177,Solomon,Lintner,M,3/3/1934,92 Birch Hill Street Randallstown,6996237041,
178,Mohammed,Briley,M,5/12/1935,9816 Beaver Ridge St. Dearborn,4634918018,
179,Venus,Silsby,M,7/17/1935,456 6th Drive Thomasville,5093699527,
180,Boris,Ruddell,M,11/30/1936,79 South Glen Creek Ave. Uniontown,2693012364,
181,Delorse,Broach,M,3/29/1947,8046 King St. Nanuet,9126244048,
182,Eboni,Mallari,M,6/17/1949,273 Ramblewood St. Liverpool,4505720401,
183,Sudie,Coppinger,M,1/22/1950,8348 Miles Rd. Yorktown Heights,6986460110,
184,Latia,Swanner,M,2/26/1960,882 Sycamore Court Hillsboro,4696129491,
185,Isiah,Warburton,M,11/9/1960,925 Lafayette Dr. Latrobe,7092210055,
186,Rosendo,Quattlebaum,M,2/12/1963,20 St Margarets St. Lawrence,9247524214,
187,Leslie,Bove,M,12/30/1963,8658 Saxon Ave. Mason City,3257764498,
188,Ralph,Ault,M,1/21/1964,80 SW. Rocky River Drive Randallstown,1954507274,
189,Rosalba,Steinke,M,7/30/1967,9 Sunset Street Berwyn,6238334361,
190,Minna,Toupin,M,10/18/1967,7 Sherwood Road Mount Holly,8834874080,
191,Rocio,Decuir,M,5/6/1971,8284 Del Monte Lane Jonesboro,4671603037,
192,Mercedes,Grisby,M,7/3/1972,715 Glendale Road South Richmond Hill,6035799940,
193,Lucien,Nagler,M,10/10/1973,174 Beaver Ridge Street Minneapolis,2746236306,
194,Thu,Goode,M,8/28/1976,6 Morris Street Williamstown,4092089789,
195,Celina,Ritz,M,9/3/1976,135 Argyle Avenue Joliet,7990675535,
196,Shenita,Delaughter,M,9/17/1979,8329 Randall Mill St. East Lansing,4866108852,
197,Alline,Heim,M,11/2/1979,8120 Bald Hill Street Baton Rouge,9168305672,
198,Connie,Holtman,M,10/27/1980,9169 Campfire Ave. Cockeysville,2890415757,
199,Adriene,Scheetz,M,9/1/1985,88 Young Avenue Oak Forest,2413867423,
200,Rosalba,Prall,M,12/13/1929,724 East Warren St. New Brunswick,9593706737,
201,Cathey,Rottman,M,6/23/1935,797 Spruce Dr. Lanham,2656317978,
202,Sau,Tekulve,M,7/12/1937,54 Golf Ave. Rocky Mount,3637095235,
203,Ladonna,Hunkins,M,3/14/1940,7360 Shub Farm St. Appleton,4976463696,
204,Ardis,Lindblom,M,6/28/1947,21 W. Greystone Dr. Jamaica,4654897302,
205,Rosemary,Platter,M,2/21/1949,8045 Edgewood Ave. Newtown,7557099444,
206,Assunta,Dendy,M,1/5/1953,73 Berkshire Street Fishers,7036855069,
207,Dean,Martins,M,7/27/1954,662 Rose St. Brentwood,9376457635,
208,Renee,Hauptman,M,1/14/1955,9376 Court Lane Hendersonville,5204556714,
209,Owen,Chatmon,M,6/7/1957,759 Lake Dr. Zeeland,7551651372,
210,Roseline,Gibb,M,4/10/1959,311 Brickyard Ave. Flemington,8309162582,
211,Julia,Fontenot,M,2/6/1962,936 Sulphur Springs Ave. Glendora,3875792582,
212,Lakeisha,Keeling,M,11/20/1964,47 Second Rd. Neenah,6669151811,
213,Joline,Mattern,M,7/15/1968,265 Strawberry Drive Dublin,3179455090,
214,Thomasena,Schueler,M,4/8/1972,72 3rd St. Latrobe,8109221164,
215,Raquel,Gleason,M,6/3/1972,333 S. Grant St. Greenfield,9366810872,
216,Saran,Pickard,M,6/21/1974,993 University St. Brentwood,8696379067,
217,Martin,Plate,M,11/2/1975,9114 S. Sage Road Carrollton,1891442329,
218,Michal,Bickley,M,12/4/1977,8164 North Hillside Ave. Cranston,7512838859,
219,Dotty,Nickens,M,1/11/1983,4 Marlborough St. Parkersburg,9987395946,
220,Waldo,Rhames,M,5/14/1984,7243 Logan Dr. Chelsea,3571511700,
221,Shani,Ruf,M,7/31/1984,7596 Pin Oak Ave. Cordova,8833529733,
222,Chet,Cave,M,12/20/1984,83 Sunset St. Yuba City,2906609876,
223,Willis,Accardo,M,9/14/1985,8 Princess Ave. Chesterton,3042149583,
224,Sandi,Villanveva,M,6/29/1987,193 Sunnyslope St. Newburgh,5749118320,
225,Carlyn,Fasano,M,2/17/1927,7584 S. Thatcher Lane Indiana,4880307481,
226,Jackson,Grasser,M,2/3/1928,205 North Holly Ave. Milton,6072952001,
227,Cira,Sereno,M,4/11/1942,8014 Summer St. Parsippany,6812457263,
228,Rhonda,Bartz,M,3/28/1948,40 Ohio Dr. York,1275689180,
229,Pat,Marton,M,12/20/1952,644 N. Philmont Avenue Manchester Township,1737093341,
230,Bell,Koester,M,6/10/1954,9020 John St. Raleigh,7357489204,
231,Maurita,Telfer,M,6/19/1955,131 Essex St. Faribault,7548031515,
232,Rosalee,Champney,M,7/6/1955,83 Clinton St. Springboro,9330420107,
233,Kala,Leavitt,M,3/28/1956,728 Lake View St. Orange,1717655512,
234,Mitsuko,Beier,M,3/13/1957,79 Greystone Court Greenwood,4802316458,
235,Paola,Trew,M,9/25/1963,31 Ramblewood St. Campbell,7118137988,
236,Jeramy,Spurr,M,1/20/1965,9859 Lees Creek Street Gloucester,7810165947,
237,Arlinda,Cusson,M,11/11/1965,6 York Street Libertyville,7968794094,
238,Louis,Sandoval,M,9/12/1966,34 La Sierra St. Littleton,5386047082,
239,Amalia,Zigler,M,12/31/1968,794 Spruce Road Oshkosh,4871332204,
240,Vennie,Bernal,M,9/10/1971,62 Birchpond Dr. Metairie,1006909676,
241,Keren,Collingsworth,M,8/20/1972,51 Elmwood Circle Corpus Christi,8120636508,
242,Abram,Kulp,M,2/9/1975,739 E. Jones Court Suffolk,7771567510,
243,Breana,Pasha,M,7/5/1975,64 Sunset Street Daphne,3806451635,
244,Tamar,Bundy,M,1/31/1979,8770 W. Edgemont Street Greenwood,9773230242,
245,Matilda,Linville,M,10/16/1979,779 NW. Penn Court Santa Monica,7353285873,
246,Sherril,Eason,M,1/23/1984,66 Ridgewood Street Titusville,5153337854,
247,Charissa,Moreton,M,10/5/1986,970 Fordham Street Wilson,4859261661,
248,Rolando,Hoehn,M,9/10/1988,712 Glendale Court Valrico,9350552821,
249,Mimi,Stelle,M,6/1/1991,897 Lyme St. Duarte,1985128966,
